district,rmse,r_squared,coefficients,intercept,best_alpha,alphas_tried,differencing
AHMEDNAGAR,531.9255170399563,0.08101011274355707,"[-0.038596158529227924, 0.015475550011280096, -0.24831376466003163, -0.08103609264290025, 0.13527729201500444]",8385.528294798958,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
AKOLA,295.6746773336865,0.19196019917926754,"[0.1632024060492439, -0.17592552072091688, -0.3731710594710575, 0.13388612755905582, -0.11968438631497279]",3712.570067768031,0.001,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
AMRAVATI,361.71469750564,0.27521000495863823,"[0.4363087203316295, -0.29650508730345226, -0.18934423606669465, 0.0637253685057548, -0.19926285312319045]",4554.6564604982905,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
AURANGABAD,402.7568080918855,0.17351123449963035,"[0.24348322627357738, -0.060612282450809594, 0.28625960903828546, -0.012778942791918317, 0.05984907538319068]",3154.1151157324043,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
BEED,352.4878770266026,0.29576111248352566,"[0.2690187179144143, 0.12293559993044961, 0.10758512607690471, -0.3300032547967466, -0.2280828476060013]",4176.532962186598,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
BHANDARA,277.31743203557585,0.09931388733950353,"[-0.26498645701917994, -0.22433514836904947, -0.0777897161840445, -0.0825842678431106, -0.12724506430375812]",-3.185591014038488,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",1
BULDHANA,342.7187490033701,0.2695636297570906,"[0.0336274181257729, -0.15085963577651187, -0.20273465559059745, -0.04459297787433662, -0.36364358745294917]",7174.884886203223,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
CHANDRAPUR,194.01052728893126,0.40698109684287365,"[0.5331745528125094, -0.19472960877978218, 0.19332965587756779, -0.3576464914936664, -0.1295564272793105]",2533.2213568571447,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
DHULE,336.726616626879,0.17270882195153392,"[0.42662438189029567, -0.020745169836482443, -0.09827411803990793, 0.04975062099293309, 0.01529807992384255]",2342.8262529151866,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
GADCHIROLI,304.93631145334194,0.176094827306294,"[-0.244493115943706, 0.11685731694715118, 0.15578835950758554, -0.18527433381540426, -0.3127673497885315]",-1.0641695475697013,0.001,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",1
GONDIA,139.4830316472612,0.38743097476008215,"[0.2947298679586271, 0.1482579831214125, -0.029301201768907353, -0.10151447060081965, -0.3563732807822346]",1743.9148108450888,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
HINGOLI,126.52236511681276,0.14923332608134043,"[0.2055002818502218, -0.308281159843109, 0.11509548594020692, -0.2419485719442126, 0.17894793492181482]",2052.1443253088414,10.0,"[0.001, 0.0013738237958832624, 0.0018873918221350976, 0.002592943797404667, 0.003562247890262444, 0.004893900918477494, 0.006723357536499335, 0.009236708571873866, 0.01268961003167922, 0.017433288221999882, 0.02395026619987486, 0.03290344562312668, 0.04520353656360243, 0.06210169418915616, 0.08531678524172806, 0.11721022975334805, 0.16102620275609392, 0.2212216291070448, 0.3039195382313198, 0.41753189365604004, 0.5736152510448681, 0.7880462815669912, 1.0826367338740541, 1.4873521072935119, 2.0433597178569416, 2.8072162039411754, 3.856620421163472, 5.298316906283707, 7.278953843983146, 10.0]",0
